"wd24cd","mean","sd","q2.5","q50","q97.5","N","has_microdata"
"E05009317",6.12641022083909,0.223527949774844,5.68297796455502,6.12746155963917,6.56557946850425,18085.25,TRUE
"E05009318",6.29334769744668,0.245814312768444,5.81123410462874,6.29257332362862,6.77900382635803,18990.75,TRUE
"E05009319",6.01014572456453,0.2430144531096,5.53075669452336,6.01188817088428,6.48449433305306,17107.5,TRUE
"E05009320",6.19768908124395,0.278233902527977,5.64952227756479,6.19380739386232,6.74028478640835,11917,TRUE
"E05009321",6.47536691351787,0.202324292844525,6.07891759801747,6.47875870861083,6.85536469052258,9842.75,TRUE
"E05009322",5.98535501403499,0.256249369219024,5.47409800094924,5.98649397374417,6.49042892740039,11680.75,TRUE
"E05009323",6.49478275672379,0.27052957671603,5.94827879838915,6.4953176583318,7.03239127150099,15926.5,TRUE
"E05009324",6.30037526778394,0.28480942041649,5.74697694034348,6.29828663473746,6.86459437794734,13201.25,TRUE
"E05009325",6.14110155070875,0.220784781294197,5.7101985840211,6.13843924164142,6.57993253834729,17953.5,TRUE
"E05009326",6.40283943990871,0.313964425171535,5.78352319680905,6.39664152315011,7.03313343874693,5958.25,TRUE
"E05009327",5.82504865198466,0.16649466136671,5.5002057070244,5.82638630504969,6.15317101138084,18211.75,TRUE
"E05009328",6.28229266358423,0.278979986009601,5.73296985115912,6.28222652764013,6.83333407984742,6576.5,TRUE
"E05009329",6.66762107794338,0.213027946594241,6.25261621821495,6.66689186934048,7.08356194415614,12313.5,TRUE
"E05009330",6.14217762290706,0.247425791911584,5.65903352874228,6.1429015047461,6.62653372396115,10845.25,TRUE
"E05009331",6.05510043462748,0.231264873969664,5.59290139481019,6.05866636051199,6.50727571625301,17234.75,TRUE
"E05009332",6.04648700539454,0.219611466039793,5.61118798978504,6.04771283067836,6.47502712683031,11022.25,TRUE
"E05009333",6.20877979951096,0.210517150162639,5.79564767538783,6.20873138182761,6.61750992557314,11833,TRUE
"E05009334",6.44591221282781,0.256154791599989,5.94738242712898,6.44349456398038,6.9596469021213,10383.75,TRUE
"E05009335",6.25855199850262,0.279397651857198,5.70901357346966,6.25689661059527,6.80311756006736,11675,TRUE
"E05009336",6.51628570665496,0.282811452085241,5.96095825051837,6.51547280720109,7.08439500275079,16486.75,TRUE
"E05009367",6.01272913972753,0.259329897012281,5.50125069708241,6.0170300364941,6.51428270092067,8030.75,TRUE
"E05009368",6.29377575607183,0.281378925559702,5.739785520996,6.2938594362867,6.84238650789141,12162.25,TRUE
"E05009369",6.41226057162965,0.256498377953699,5.91775871086409,6.41351967936879,6.92666119575149,10969.5,TRUE
"E05009370",6.38787473881111,0.320192173577648,5.76847244711048,6.38552977012296,7.01947228734886,8048,TRUE
"E05009371",6.38568087437327,0.307731066880928,5.78461854420614,6.38657160050897,6.99589719126677,8068.25,TRUE
"E05009372",6.32170785089399,0.287237206618966,5.76588486894297,6.31621788596017,6.89112068951505,11111.5,TRUE
"E05009373",6.29787942013269,0.331813320299861,5.64272261271848,6.29681706432326,6.95257861011517,11390.25,FALSE
"E05009374",6.24883030284163,0.279856551561569,5.69913844865859,6.24894938558096,6.79798735410534,10654.25,TRUE
"E05009375",6.26850466844379,0.25247854331691,5.77301436360457,6.26659392450914,6.77472898313814,12787.25,TRUE
"E05009376",6.37803676706064,0.278161261113754,5.83112489569228,6.37601511601812,6.92935521028595,11786.25,TRUE
"E05009377",5.91156045865293,0.263809822452112,5.38424857006002,5.91726850078697,6.41884684416505,10558.25,TRUE
"E05009378",6.20949730307893,0.299922791570926,5.61542632377452,6.20976418223854,6.80180897653357,12288.5,TRUE
"E05009379",5.85676948669121,0.273308697434923,5.31998274720381,5.86360867516351,6.38263091157059,11040.5,TRUE
"E05009380",6.34758959387134,0.245809866221647,5.86337576922626,6.34733449777041,6.83067291440435,11990.25,TRUE
"E05009381",6.3810829769891,0.282210427318336,5.83815440391209,6.37807655953848,6.93536339511207,11237.75,TRUE
"E05009382",6.27292382633889,0.309857217514458,5.66055219958557,6.27169492277371,6.88279892252603,7907.5,TRUE
"E05009383",6.2549231645039,0.265735972940788,5.73423193661449,6.25652461238084,6.77833415067143,11693.25,TRUE
"E05009384",6.52454363163751,0.284696570696475,5.97410541911959,6.52173758493095,7.09273747288007,7781,TRUE
"E05009385",6.80749979216662,0.265162460067635,6.30205713150907,6.80394492798184,7.3479607611048,11687,TRUE
"E05009386",6.3287983233164,0.284820879761962,5.77297034837667,6.32645217434507,6.88763201347938,10574,TRUE
"E05009387",6.27928769800433,0.330572327542756,5.63970321174436,6.27735075474033,6.92435868909969,10120.25,FALSE
"E05009388",6.33218403573753,0.333042635271069,5.67753679349009,6.33062830518713,6.99297995956777,7082.25,FALSE
